post_created_date,page_name,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,message,url,nces_id,post_id,overperforming,followers_at_posting,state_combined,n_students_combined
9/15/21,Insight School of Minnesota a networK12 school,Native Video,0,0,0,0,0,0,0,0,0,0,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! Listen now: http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/330661150337618/posts/6225156277554713/,270624004306,330661000000000,-4,575,MINNESOTA,496
9/15/21,Insight School of Oklahoma,Native Video,0,0,0,0,0,0,0,0,0,0,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! Listen now: http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/1424378747816742/posts/2995379340716667/,400078502792,142438e10,-8,716,OKLAHOMA,635
9/8/21,Insight School of Minnesota a networK12 school,Native Video,0,0,0,0,0,0,0,0,0,0,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",https://www.facebook.com/330661150337618/posts/6187304994673175/,270624004306,330661000000000,-4,573,MINNESOTA,496
9/8/21,Insight Academy of Arizona a NetworK12 School,Native Video,0,0,0,0,0,0,0,0,0,0,"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",https://www.facebook.com/613700125351937/posts/4320116921376887/,040043203324,613700000000000,-2,NA,ARIZONA,1357
8/31/21,Pathways in Technology Early College High School,Link,0,0,0,0,0,0,0,0,0,0,NA,https://www.facebook.com/188958387795892/posts/6296065673751769/,360009506273,100064000000000,-26,2359,NEW YORK,544
8/12/21,Gwinn Area Community Schools,Status,0,0,0,0,0,0,0,0,0,0,"A student reinstatement hearing of the Board of Education, Gwinn Area Community Schools, will be held on Monday, August 16, 2021 in the Gwinn Middle/High School Library. Hearing called to order: 6:00 P.M. The agenda for the hearing is as follows: 1) Call to Order 2) Approval of Agenda 3) Public Comment 4) Student Reinstatement Hearing a) Student D 5) Public Comment 6) Board Member Comments 7) Adjourn The regular meeting of the Board of Education, Gwinn Area Community Schools, will be held on Monday, August 16, 2021 in the Gwinn Middle/High School Library. Meeting called to order: 6:30 P.M. 1. Call to Order 2. Pledge of Allegiance 3. Approval of Minutes 4. Approval of Agenda 5. Public Comment 6. Financial Report a. Approval of Monthly Check Register b. Financial Report 7. Information a. Sinking Fund Update b. Strategic Plan Update c. Critical Race Theory d. Department Updates 8. Superintendent’s Report a. Board Report b. Correspondence 10. Old Business – Action a. 5th grade HIV/AIDS video 11. New Business – Action a. Board Appointments b. Approve Bakery & Dairy Bids c. Approve Propane Bids d. Student Handbook Changes i. Gwinn Elementary Schools ii. Gwinn Middle/High School e. Approve list of GACS Classes offered for Credit/State Aid i. Elementary ii. Middle School iii. High School (including all online courses) f. School Inspection Contract g. Increase Breakfast & Lunch prices at GMS/GHS h. JUUL Resolution i. Personnel 1. Resignations i. Heather Strohm – bus driver, Gwinn Bus Garage/custodian, KI Sawyer Elementary School – effective date of resignation – July 29, 2021 ii. Lauren Hemmila – special education teacher, Gilbert Elementary School, effective date of resignation – July 31, 2021 2. Employment i. Olivia Johnson – 1st grade teacher, KI Sawyer Elementary School, effective date of employment – 1st day of the 2021-22 contract year ii. Jason Stansky – JV football coach, Gwinn Middle/High School, effective date of hire – 1st day of the fall 2021 season i. Gifts/Donations 1. Donor’s Choose – “Creating an Inclusive Classroom Library” (valued at $209); Building a Classroom Library: Full STEAM Ahead” (valued at $327); “Bookshelf: A Treasure Chest for a Curious Mind (valued at $179) and “Graphic Novels” (valued at $288) donated to Mr. Rice’s classroom at Gwinn Middle/High School 2. Potlach – woodchips donated for the Gilbert and KI Sawyer Elementary School playgrounds 12. Public Comment 13. Board Member Comments 14. Adjourn",https://www.facebook.com/284664001618377/posts/4234657393285665/,2614690,284664000000000,-86,1819,MICHIGAN,1004
7/30/21,Sheridan County School District #3,Link,0,0,0,0,0,0,0,0,0,0,NA,https://www.facebook.com/465990290135967/posts/4092656067469353/,5605680,465990000000000,-34,465,WYOMING,86
7/13/21,Bunceton / Cooper County R-IV School District,Link,0,0,0,0,0,0,0,0,0,0,"IMPORTANT UPDATE FROM THE MISSOURI SCHOOL BOARDS ASSOCIATION: Critical Race Theory and Educational Equity: What You Need to Know Questions about Critical Race Theory and its use in public schools are becoming commonplace in our communities. Two common questions being asked are 1) What is Critical Race Theory? and 2) Is it being taught in our schools? What Is Critical Race Theory? Critical Race Theory (CRT) is a phrase that is frequently mentioned in the media and in public conversations. CRT might have a certain meaning to one person while someone else might believe it is something entirely different. But the most basic purpose of Critical Race Theory, which originated in the 1970s, was as an analytical tool for law students to examine the impact of historical and present-day racism on the legal system and public policies. Currently, CRT is primarily used by higher education in the study of law, psychology, and sociology. Is Critical Race Theory in the Missouri Learning Standards? The tenets of CRT are not part of social studies or any other learning standards in Missouri. The state’s social studies standards can be found on the Department of Elementary and Secondary Education’s website (Missouri Social Studies Learning Standards). It’s important to remember that all Missouri Learning Standards are approved by the State Board of Education and developed by Missouri educators, parents, and other community stakeholders selected by the President Pro Tem of the Senate, the Speaker of the House, the Governor, the Lieutenant Governor, the State Board of Education, the Commissioner of DESE, the Commissioner of Higher Education and various education associations. (Section 160.514, RSMo.) Is Critical Race Theory the Same as Educational Equity? No. Various media channels and members of the public sometimes use terms interchangeably when they mean two different things. The terms Critical Race Theory and educational equity are not the same. Unlike CRT, which, again, is a tool primarily used in institutions of higher education, educational equity is a K-12 term referring to federal and state policies and requirements. Specifically, the term is closely associated with “No Child Left Behind” (NCLB) legislation that was led by former President George W. Bush and signed into law in 2002. This federal law established clear requirements for school districts to not only disaggregate student achievement data by race but also to close achievements gaps where they exist. In recent years, the terms equity work or diversity, equity, and inclusion (DEI) has become commonplace in K-12 education as many districts revisit and renew their local efforts to close achievement gaps as required by the federal Every Student Succeeds Act (ESSA). When signed into law in 2015, ESSA further advanced equity in U.S. education policy by upholding protections outlined in NCLB, including calling for comprehensive state-developed plans designed to close achievement gaps, improve the quality of instruction, and increase outcomes for all students. The state's accreditation system, MSIP (the Missouri School Improvement Program), includes provisions to address educational equity in Missouri’s schools. These rules were reviewed by Missouri’s Joint Committee on Administrative Rules, which is a 10-member legislative committee made up of six Republicans and four Democrats from the Missouri House and Senate. Further, the Secretary of State received comments from the public on the proposed rules and the State Board of Education considered the comments prior to final approval. Is Critical Race Theory the Same as Diversity, Equity, and Inclusion (DEI)? No. The focus of DEI is to ensure all students have the opportunity to receive a quality education and are provided the resources they need in order to allow for their success. We hope you find this information helpful as questions arise about this topic. www.mosba.org:=:https://www.mosba.org/ | 800.221.6722 | info@mosba.org | 2100 I-70 Drive Southwest Columbia, MO 65203",https://www.facebook.com/358558694684432/posts/1035889740284654/,2906150,358559000000000,-24,550,MISSOURI,113
7/12/21,Derby Public Schools,Status,0,0,0,0,0,0,0,0,0,0,First patron to speak - Alan Turner regarding Critical Race Theory. #DerbyBOE,https://www.facebook.com/190701888923/posts/10158755856983924/,2005460,190702000000,-96,8636,KANSAS,7255
5/6/21,Carbon County School District One,Photo,0,0,0,0,0,0,0,0,0,0,NA,https://www.facebook.com/414688035304556/posts/3549001995206462/,5601030,414688000000000,-44,2181,WYOMING,1680
2/11/21,Horizon Science Academy Springfield,Native Video,0,0,0,0,0,0,0,0,0,0,"Today we honor Kimberlé Williams Crenshaw, a pioneering scholar and writer on civil rights, critical race theory, Black feminist legal theory, and race, racism and the law.",https://www.facebook.com/329720390392905/posts/4040285652669675/,3900451,329720000000000,-20,841,OHIO,376
